submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439349,venkatesh-1729,0.798 (1),0.666 (1),,,,,,,,,,,
438639,psyml,0.761 (2),0.639 (2),,,,,,,,,,,
466305,dominikstanojevic,0.740 (3),0.616 (3),,,,,,,,,,,
439905,anasteam,0.723 (7),0.574 (6),,,,,,,,,,,
439099,minok00,0.726 (6),0.539 (10),,,,,,,,,,,
445038,wangmin,0.727 (5),0.557 (9),,,,,,,,,,,
439143,danielfl,0.721 (8),0.531 (12),,,,,,,,,,,
440376,Habibeh,0.731 (4),0.608 (4),,,,,,,,,,,
439154,jogonba2,0.700 (9),0.582 (5),,,,,,,,,,,
437594,lanman,0.697 (10),0.558 (7),,,,,,,,,,,
437726,CZWin32768,0.665 (12),0.557 (8),,,,,,,,,,,
438767,yoyo,0.671 (11),0.538 (11),,,,,,,,,,,
440637,dmikrav,0.635 (13),0.517 (13),,,,,,,,,,,
481606,derrickpehjh,0.614 (16),0.486 (15),,,,,,,,,,,
437598,ISCLAB,0.634 (14),0.468 (16),,,,,,,,,,,
439843,ruwanw,0.629 (15),0.502 (14),,,,,,,,,,,
439367,Amrita_student,0.262 (17),0.256 (17),,,,,,,,,,,
440157,bicici,0.233 (18),0.237 (18),,,,,,,,,,,
439459,thelonewolf190694,0.090 (19),0.111 (19),,,,,,,,,,,
440357,dragoni,0.049 (20),0.033 (21),,,,,,,,,,,
439130,AlexandraFlescan,-0.014 (21),0.036 (20),,,,,,,,,,,
500063,mhjabreel,-999.999 (22),-999.999 (22),,,,,,,,,,,
496648,yjiang18,-999.999 (22),-999.999 (22),,,,,,,,,,,
488537,nvidia-AI,-999.999 (22),-999.999 (22),,,,,,,,,,,
486041,AngeloMarlon,-999.999 (22),-999.999 (22),,,,,,,,,,,
437810,hhaddad,-999.999 (22),-999.999 (22),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (22),-999.999 (22),,,,,,,,,,,
441651,ad26kt,-999.999 (22),-999.999 (22),,,,,,,,,,,
439087,hebe,-999.999 (22),-999.999 (22),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (22),-999.999 (22),,,,,,,,,,,
439145,utpalsikdar,-999.999 (22),-999.999 (22),,,,,,,,,,,
439196,NAGOUDI,-999.999 (22),-999.999 (22),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (22),-999.999 (22),,,,,,,,,,,
451204,prabod,-999.999 (22),-999.999 (22),,,,,,,,,,,
469089,bakrianoo,-999.999 (22),-999.999 (22),,,,,,,,,,,
469166,Malak,-999.999 (22),-999.999 (22),,,,,,,,,,,
475341,nvidia,-999.999 (22),-999.999 (22),,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
469166,Malak,0.680 (1),0.557 (1),,,,,,,,,,,
439459,thelonewolf190694,0.269 (3),0.111 (4),,,,,,,,,,,
439367,Amrita_student,0.393 (2),0.282 (2),,,,,,,,,,,
440157,bicici,0.238 (4),0.168 (3),,,,,,,,,,,
500063,mhjabreel,-999.999 (5),-999.999 (5),,,,,,,,,,,
496648,yjiang18,-999.999 (5),-999.999 (5),,,,,,,,,,,
488537,nvidia-AI,-999.999 (5),-999.999 (5),,,,,,,,,,,
486041,AngeloMarlon,-999.999 (5),-999.999 (5),,,,,,,,,,,
481606,derrickpehjh,-999.999 (5),-999.999 (5),,,,,,,,,,,
437726,CZWin32768,-999.999 (5),-999.999 (5),,,,,,,,,,,
437810,hhaddad,-999.999 (5),-999.999 (5),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (5),-999.999 (5),,,,,,,,,,,
438639,psyml,-999.999 (5),-999.999 (5),,,,,,,,,,,
438767,yoyo,-999.999 (5),-999.999 (5),,,,,,,,,,,
437594,lanman,-999.999 (5),-999.999 (5),,,,,,,,,,,
437598,ISCLAB,-999.999 (5),-999.999 (5),,,,,,,,,,,
441651,ad26kt,-999.999 (5),-999.999 (5),,,,,,,,,,,
445038,wangmin,-999.999 (5),-999.999 (5),,,,,,,,,,,
439087,hebe,-999.999 (5),-999.999 (5),,,,,,,,,,,
439099,minok00,-999.999 (5),-999.999 (5),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (5),-999.999 (5),,,,,,,,,,,
439130,AlexandraFlescan,-999.999 (5),-999.999 (5),,,,,,,,,,,
439145,utpalsikdar,-999.999 (5),-999.999 (5),,,,,,,,,,,
439154,jogonba2,-999.999 (5),-999.999 (5),,,,,,,,,,,
439143,danielfl,-999.999 (5),-999.999 (5),,,,,,,,,,,
439196,NAGOUDI,-999.999 (5),-999.999 (5),,,,,,,,,,,
439349,venkatesh-1729,-999.999 (5),-999.999 (5),,,,,,,,,,,
439843,ruwanw,-999.999 (5),-999.999 (5),,,,,,,,,,,
439905,anasteam,-999.999 (5),-999.999 (5),,,,,,,,,,,
440357,dragoni,-999.999 (5),-999.999 (5),,,,,,,,,,,
440376,Habibeh,-999.999 (5),-999.999 (5),,,,,,,,,,,
440637,dmikrav,-999.999 (5),-999.999 (5),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (5),-999.999 (5),,,,,,,,,,,
451204,prabod,-999.999 (5),-999.999 (5),,,,,,,,,,,
466305,dominikstanojevic,-999.999 (5),-999.999 (5),,,,,,,,,,,
469089,bakrianoo,-999.999 (5),-999.999 (5),,,,,,,,,,,
475341,nvidia,-999.999 (5),-999.999 (5),,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439154,jogonba2,0.705 (1),0.517 (1),,,,,,,,,,,
438767,yoyo,0.387 (3),0.270 (3),,,,,,,,,,,
440157,bicici,0.415 (2),0.312 (2),,,,,,,,,,,
439367,Amrita_student,0.273 (4),0.187 (4),,,,,,,,,,,
439459,thelonewolf190694,0.078 (5),0.100 (6),,,,,,,,,,,
439130,AlexandraFlescan,-0.003 (6),0.127 (5),,,,,,,,,,,
500063,mhjabreel,-999.999 (7),-999.999 (7),,,,,,,,,,,
496648,yjiang18,-999.999 (7),-999.999 (7),,,,,,,,,,,
488537,nvidia-AI,-999.999 (7),-999.999 (7),,,,,,,,,,,
486041,AngeloMarlon,-999.999 (7),-999.999 (7),,,,,,,,,,,
481606,derrickpehjh,-999.999 (7),-999.999 (7),,,,,,,,,,,
437726,CZWin32768,-999.999 (7),-999.999 (7),,,,,,,,,,,
437810,hhaddad,-999.999 (7),-999.999 (7),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (7),-999.999 (7),,,,,,,,,,,
438639,psyml,-999.999 (7),-999.999 (7),,,,,,,,,,,
437594,lanman,-999.999 (7),-999.999 (7),,,,,,,,,,,
437598,ISCLAB,-999.999 (7),-999.999 (7),,,,,,,,,,,
441651,ad26kt,-999.999 (7),-999.999 (7),,,,,,,,,,,
445038,wangmin,-999.999 (7),-999.999 (7),,,,,,,,,,,
439087,hebe,-999.999 (7),-999.999 (7),,,,,,,,,,,
439099,minok00,-999.999 (7),-999.999 (7),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (7),-999.999 (7),,,,,,,,,,,
439145,utpalsikdar,-999.999 (7),-999.999 (7),,,,,,,,,,,
439143,danielfl,-999.999 (7),-999.999 (7),,,,,,,,,,,
439196,NAGOUDI,-999.999 (7),-999.999 (7),,,,,,,,,,,
439349,venkatesh-1729,-999.999 (7),-999.999 (7),,,,,,,,,,,
439843,ruwanw,-999.999 (7),-999.999 (7),,,,,,,,,,,
439905,anasteam,-999.999 (7),-999.999 (7),,,,,,,,,,,
440357,dragoni,-999.999 (7),-999.999 (7),,,,,,,,,,,
440376,Habibeh,-999.999 (7),-999.999 (7),,,,,,,,,,,
440637,dmikrav,-999.999 (7),-999.999 (7),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (7),-999.999 (7),,,,,,,,,,,
451204,prabod,-999.999 (7),-999.999 (7),,,,,,,,,,,
466305,dominikstanojevic,-999.999 (7),-999.999 (7),,,,,,,,,,,
469089,bakrianoo,-999.999 (7),-999.999 (7),,,,,,,,,,,
469166,Malak,-999.999 (7),-999.999 (7),,,,,,,,,,,
475341,nvidia,-999.999 (7),-999.999 (7),,,,,,,,,,,
submission_pk,User,Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439349,venkatesh-1729,0.717 (1),0.560 (1),0.705 (1),0.549 (1),,,,,,,,,,,,,,,,,,,,,
438639,psyml,0.667 (3),0.463 (3),0.643 (2),0.448 (2),,,,,,,,,,,,,,,,,,,,,
439143,danielfl,0.673 (2),0.493 (2),0.392 (10),0.304 (9),,,,,,,,,,,,,,,,,,,,,
439154,jogonba2,0.605 (5),0.453 (4),0.534 (7),0.428 (3),,,,,,,,,,,,,,,,,,,,,
438767,yoyo,0.610 (4),0.439 (5),0.596 (3),0.426 (4),,,,,,,,,,,,,,,,,,,,,
445038,wangmin,0.572 (6),0.370 (9),0.559 (4),0.330 (7),,,,,,,,,,,,,,,,,,,,,
437598,ISCLAB,0.563 (7),0.420 (6),0.557 (5),0.363 (5),,,,,,,,,,,,,,,,,,,,,
437594,lanman,0.536 (9),0.378 (8),0.532 (8),0.328 (8),,,,,,,,,,,,,,,,,,,,,
439087,hebe,0.548 (8),0.420 (7),0.536 (6),0.362 (6),,,,,,,,,,,,,,,,,,,,,
486041,AngeloMarlon,0.469 (10),0.329 (10),0.463 (9),0.276 (10),,,,,,,,,,,,,,,,,,,,,
439145,utpalsikdar,0.242 (12),0.187 (12),0.217 (12),0.101 (12),,,,,,,,,,,,,,,,,,,,,
440357,dragoni,0.268 (11),0.206 (11),0.262 (11),0.145 (11),,,,,,,,,,,,,,,,,,,,,
439367,Amrita_student,0.055 (13),0.012 (13),0.028 (13),0.003 (13),,,,,,,,,,,,,,,,,,,,,
439109,NAVEEN.J.R,0.000 (14),0.000 (14),0.000 (14),0.000 (14),,,,,,,,,,,,,,,,,,,,,
439459,thelonewolf190694,-0.033 (15),NaN (14),-0.001 (15),0.000 (14),,,,,,,,,,,,,,,,,,,,,
439130,AlexandraFlescan,-0.054 (16),-0.015 (15),-0.051 (16),-0.012 (15),,,,,,,,,,,,,,,,,,,,,
500063,mhjabreel,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
496648,yjiang18,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
488537,nvidia-AI,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
481606,derrickpehjh,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
437726,CZWin32768,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
437810,hhaddad,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
441651,ad26kt,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
439099,minok00,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
439196,NAGOUDI,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
439843,ruwanw,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
439905,anasteam,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
440376,Habibeh,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
440637,dmikrav,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
451204,prabod,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
466305,dominikstanojevic,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
469089,bakrianoo,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
440157,bicici,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
469166,Malak,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
475341,nvidia,-999.999 (17),-999.999 (16),-999.999 (17),-999.999 (16),,,,,,,,,,,,,,,,,,,,,
submission_pk,User,Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
469166,Malak,0.611 (1),0.400 (1),0.604 (1),0.356 (1),,,,,,,,,,,,,,,,,,,,,
486041,AngeloMarlon,0.445 (2),0.269 (2),0.427 (2),0.191 (2),,,,,,,,,,,,,,,,,,,,,
439367,Amrita_student,0.275 (3),0.232 (3),0.252 (3),0.137 (3),,,,,,,,,,,,,,,,,,,,,
439109,NAVEEN.J.R,0.023 (5),-0.076 (5),0.008 (5),-0.012 (5),,,,,,,,,,,,,,,,,,,,,
439459,thelonewolf190694,0.099 (4),0.015 (4),0.040 (4),0.003 (4),,,,,,,,,,,,,,,,,,,,,
500063,mhjabreel,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
496648,yjiang18,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
488537,nvidia-AI,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
481606,derrickpehjh,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437726,CZWin32768,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437810,hhaddad,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
438639,psyml,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
438767,yoyo,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437594,lanman,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
437598,ISCLAB,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
441651,ad26kt,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
445038,wangmin,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439087,hebe,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439099,minok00,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439130,AlexandraFlescan,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439145,utpalsikdar,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439154,jogonba2,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439143,danielfl,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439196,NAGOUDI,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439349,venkatesh-1729,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439843,ruwanw,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
439905,anasteam,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440357,dragoni,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440376,Habibeh,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440637,dmikrav,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
451204,prabod,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
466305,dominikstanojevic,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
469089,bakrianoo,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
440157,bicici,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
475341,nvidia,-999.999 (6),-999.999 (6),-999.999 (6),-999.999 (6),,,,,,,,,,,,,,,,,,,,,
submission_pk,User,Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (all classes),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Pearson (some-emotion),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa  (all classes),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion),Kappa (some-emotion)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439154,jogonba2,0.620 (1),0.461 (1),0.605 (1),0.412 (1),,,,,,,,,,,,,,,,,,,,,
486041,AngeloMarlon,0.530 (2),0.453 (2),0.527 (2),0.391 (2),,,,,,,,,,,,,,,,,,,,,
438767,yoyo,0.380 (3),0.316 (3),0.378 (3),0.280 (3),,,,,,,,,,,,,,,,,,,,,
439109,NAVEEN.J.R,0.068 (4),0.031 (7),0.012 (6),0.003 (7),,,,,,,,,,,,,,,,,,,,,
439367,Amrita_student,0.068 (5),0.039 (6),0.020 (5),0.006 (5),,,,,,,,,,,,,,,,,,,,,
439130,AlexandraFlescan,0.023 (7),0.049 (5),0.021 (4),0.046 (4),,,,,,,,,,,,,,,,,,,,,
439459,thelonewolf190694,0.031 (6),0.098 (4),0.003 (7),0.004 (6),,,,,,,,,,,,,,,,,,,,,
500063,mhjabreel,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
496648,yjiang18,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
488537,nvidia-AI,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
481606,derrickpehjh,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
437726,CZWin32768,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
437810,hhaddad,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
438639,psyml,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
437594,lanman,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
437598,ISCLAB,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
441651,ad26kt,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
445038,wangmin,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439087,hebe,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439099,minok00,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439145,utpalsikdar,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439143,danielfl,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439196,NAGOUDI,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439349,venkatesh-1729,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439843,ruwanw,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
439905,anasteam,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
440357,dragoni,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
440376,Habibeh,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
440637,dmikrav,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
451204,prabod,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
466305,dominikstanojevic,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
469089,bakrianoo,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
440157,bicici,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
469166,Malak,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
475341,nvidia,-999.999 (8),-999.999 (8),-999.999 (8),-999.999 (8),,,,,,,,,,,,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (gold in 0.5-1)
,valence,valence
439349,venkatesh-1729,0.873 (1),0.697 (1),,,
439143,danielfl,0.843 (2),0.644 (4),,,
445038,wangmin,0.836 (3),0.667 (3),,,
438639,psyml,0.833 (4),0.668 (2),,,
437594,lanman,0.813 (5),0.598 (8),,,
439154,jogonba2,0.804 (6),0.619 (6),,,
437726,CZWin32768,0.784 (7),0.591 (9),,,
442297,to.john.mcgonical,0.782 (8),0.621 (5),,,
440637,dmikrav,0.782 (8),0.621 (5),,,
437598,ISCLAB,0.781 (9),0.608 (7),,,
438767,yoyo,0.751 (10),0.581 (10),,,
439109,NAVEEN.J.R,0.622 (11),0.472 (11),,,
439367,Amrita_student,0.281 (12),0.209 (12),,,
440157,bicici,0.161 (13),0.092 (13),,,
439459,thelonewolf190694,0.005 (14),-0.075 (15),,,
440357,dragoni,-0.017 (15),0.060 (14),,,
500063,mhjabreel,-999.999 (16),-999.999 (16),,,
496648,yjiang18,-999.999 (16),-999.999 (16),,,
